Brand,DAY_DATE,TOTAL_RX_COUNT
HUMIRA,6/1/2019,139663.1619
HUMIRA,6/1/2019,56592.53
HUMIRA,6/1/2019,306905.514
HUMIRA,6/1/2019,292088.9952
HUMIRA,6/1/2019,11364.49785
HUMIRA,6/1/2019,50456.33187
HUMIRA,6/1/2019,28151.47113
HUMIRA,6/1/2019,71290.36738
HUMIRA,6/1/2019,7909.429869
HUMIRA,6/1/2019,43813.74033
HUMIRA,6/1/2019,16070.16032
HUMIRA,6/1/2019,34386.17154
HUMIRA,6/1/2019,90694.04842
HUMIRA,6/1/2019,99441.83851
HUMIRA,6/1/2019,63087.66805
HUMIRA,6/1/2019,144376.0074
HUMIRA,7/1/2019,106911.9221
HUMIRA,7/1/2019,154057.3407
HUMIRA,7/1/2019,60569.27
HUMIRA,7/1/2019,321538.5328
HUMIRA,8/1/2019,102174.902
HUMIRA,8/1/2019,149551.6315
HUMIRA,8/1/2019,60167.2
HUMIRA,8/1/2019,311893.7335
HUMIRA,9/1/2019,99643.21997
HUMIRA,9/1/2019,146023.1193
HUMIRA,9/1/2019,56070.944
HUMIRA,9/1/2019,301737.2833
HUMIRA,10/1/2019,108959.655
HUMIRA,10/1/2019,159639.2706
HUMIRA,10/1/2019,63714.717
HUMIRA,10/1/2019,332313.6426
